data_source_id,attached_at,detached_at,reason,Machine Status
2962,2022-12-21 13:05:08,2023-01-03 04:05:26,NOT SCHEDULED,DOWNTIME
2842,2022-12-23 20:03:02,2023-01-03 11:37:08,NOT SCHEDULED,DOWNTIME
2962,2023-01-03 05:40:21,2023-01-03 21:26:59,NOT SCHEDULED,DOWNTIME
2962,2023-01-04 07:21:47,2023-01-04 22:49:27,NOT SCHEDULED,DOWNTIME
2842,2023-01-04 20:43:07,2023-01-06 03:46:12,NOT SCHEDULED,DOWNTIME
2962,2023-01-05 04:42:23,2023-01-05 07:47:13,NOT SCHEDULED,DOWNTIME
2962,2023-01-06 19:46:38,2023-01-12 03:45:00,NOT SCHEDULED,DOWNTIME
2842,2023-01-07 03:39:59,2023-01-09 05:45:28,NOT SCHEDULED,DOWNTIME
2962,2023-01-13 06:23:36,2023-01-13 12:21:51,NOT SCHEDULED,DOWNTIME
2962,2023-01-13 13:25:20,2023-01-13 14:15:22,NOT SCHEDULED,DOWNTIME
2962,2023-01-13 15:15:41,2023-01-18 07:22:47,NOT SCHEDULED,DOWNTIME
2842,2023-01-14 03:33:33,2023-01-16 05:44:54,NOT SCHEDULED,DOWNTIME
2962,2023-01-18 15:07:35,2023-01-18 15:09:26,NOT SCHEDULED,DOWNTIME
2962,2023-01-18 16:27:52,2023-01-18 18:05:58,NOT SCHEDULED,DOWNTIME
2962,2023-01-18 19:42:56,2023-01-18 19:43:08,NOT SCHEDULED,DOWNTIME
2842,2023-01-19 07:48:52,2023-01-19 11:46:34,NOT SCHEDULED,DOWNTIME
2962,2023-01-20 18:33:12,2023-02-06 08:25:38,NOT SCHEDULED,DOWNTIME
2842,2023-01-21 03:25:13,2023-01-23 03:45:31,NOT SCHEDULED,DOWNTIME
2842,2023-01-28 04:17:11,2023-01-30 05:53:48,NOT SCHEDULED,DOWNTIME
2962,2023-01-03 04:05:26,2023-01-03 05:40:12,STARTUP(TECH. WAITING),DOWNTIME
2962,2023-01-03 21:26:59,2023-01-03 21:36:47,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-04 07:34:28,2023-01-04 08:58:39,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-06 03:47:08,2023-01-06 03:54:42,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-06 15:46:26,2023-01-06 15:53:53,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-10 08:03:32,2023-01-10 08:27:26,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-10 14:44:29,2023-01-10 14:55:41,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-11 13:56:38,2023-01-11 16:05:03,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-11 19:16:19,2023-01-11 19:33:56,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-12 20:13:57,2023-01-12 20:31:28,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-12 21:12:20,2023-01-12 21:20:45,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-12 22:21:58,2023-01-12 22:23:58,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-16 05:44:54,2023-01-16 06:33:20,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-16 20:43:33,2023-01-16 21:10:27,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-17 11:18:40,2023-01-17 12:37:16,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-17 23:49:02,2023-01-18 00:30:47,STARTUP(TECH. WAITING),DOWNTIME
2962,2023-01-18 19:43:08,2023-01-18 23:18:12,STARTUP(TECH. WAITING),DOWNTIME
2962,2023-01-19 11:58:02,2023-01-19 12:02:15,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-19 22:09:19,2023-01-19 22:18:30,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-20 15:21:35,2023-01-20 17:31:39,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-23 16:15:46,2023-01-23 17:08:08,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-24 15:21:28,2023-01-24 15:32:59,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-25 17:33:14,2023-01-25 17:47:16,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-26 09:45:07,2023-01-26 11:01:15,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-27 08:21:08,2023-01-27 08:58:45,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-27 11:13:42,2023-01-27 12:30:27,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-31 02:07:53,2023-01-31 04:02:14,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-31 18:32:48,2023-01-31 18:55:22,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-03 11:37:13,2023-01-03 12:07:36,START-UP,DOWNTIME
2842,2023-01-04 08:58:39,2023-01-04 09:38:05,START-UP,DOWNTIME
2842,2023-01-04 20:12:32,2023-01-04 20:14:37,START-UP,DOWNTIME
2962,2023-01-04 22:49:25,2023-01-04 22:51:11,START-UP,DOWNTIME
2842,2023-01-06 03:46:10,2023-01-06 04:06:48,START-UP,DOWNTIME
2842,2023-01-09 05:45:28,2023-01-09 05:55:24,START-UP,DOWNTIME
2842,2023-01-10 08:27:26,2023-01-10 08:43:41,START-UP,DOWNTIME
2842,2023-01-11 19:33:59,2023-01-12 00:10:20,START-UP,DOWNTIME
2962,2023-01-12 11:45:00,2023-01-12 15:40:39,START-UP,DOWNTIME
2842,2023-01-12 20:31:28,2023-01-12 21:08:54,START-UP,DOWNTIME
2842,2023-01-12 22:23:58,2023-01-12 22:25:38,START-UP,DOWNTIME
2962,2023-01-12 23:43:58,2023-01-12 23:54:22,START-UP,DOWNTIME
2842,2023-01-16 06:33:32,2023-01-16 06:34:14,START-UP,DOWNTIME
2842,2023-01-16 21:10:27,2023-01-16 21:26:14,START-UP,DOWNTIME
2842,2023-01-17 12:37:16,2023-01-17 13:03:56,START-UP,DOWNTIME
2842,2023-01-17 13:20:41,2023-01-17 13:26:53,START-UP,DOWNTIME
2842,2023-01-18 14:25:33,2023-01-18 14:27:45,START-UP,DOWNTIME
2842,2023-01-20 17:31:39,2023-01-20 18:14:36,START-UP,DOWNTIME
2842,2023-01-23 03:45:32,2023-01-23 05:02:24,START-UP,DOWNTIME
2842,2023-01-23 05:05:40,2023-01-23 05:12:01,START-UP,DOWNTIME
2842,2023-01-25 14:42:12,2023-01-25 15:38:18,START-UP,DOWNTIME
2842,2023-01-26 00:13:12,2023-01-26 02:03:01,START-UP,DOWNTIME
2842,2023-01-26 11:01:15,2023-01-26 12:40:56,START-UP,DOWNTIME
2842,2023-01-26 12:42:23,2023-01-26 12:45:33,START-UP,DOWNTIME
2842,2023-01-27 17:00:15,2023-01-27 17:14:02,START-UP,DOWNTIME
2842,2023-01-30 05:53:48,2023-01-30 08:02:29,START-UP,DOWNTIME
2842,2023-01-31 18:55:22,2023-01-31 19:02:10,START-UP,DOWNTIME
2842,2023-01-03 12:07:36,2023-01-03 15:57:48,RUNNING,UPTIME
2842,2023-01-03 16:13:24,2023-01-03 16:53:21,RUNNING,UPTIME
2842,2023-01-03 17:05:34,2023-01-04 00:12:38,RUNNING,UPTIME
2962,2023-01-03 21:36:47,2023-01-04 07:08:15,RUNNING,UPTIME
2842,2023-01-04 00:21:10,2023-01-04 03:11:56,RUNNING,UPTIME
2842,2023-01-04 09:38:10,2023-01-04 12:26:08,RUNNING,UPTIME
2842,2023-01-04 12:47:06,2023-01-04 13:24:39,RUNNING,UPTIME
2842,2023-01-04 13:29:10,2023-01-04 17:47:29,RUNNING,UPTIME
2842,2023-01-04 17:53:32,2023-01-04 18:17:04,RUNNING,UPTIME
2842,2023-01-04 18:42:38,2023-01-04 19:22:26,RUNNING,UPTIME
2842,2023-01-04 20:13:06,2023-01-04 20:41:24,RUNNING,UPTIME
2962,2023-01-04 22:51:11,2023-01-05 04:42:23,RUNNING,UPTIME
2962,2023-01-05 07:47:13,2023-01-06 01:14:26,RUNNING,UPTIME
2962,2023-01-06 01:19:49,2023-01-06 15:20:58,RUNNING,UPTIME
2842,2023-01-06 04:06:48,2023-01-06 04:28:34,RUNNING,UPTIME
2842,2023-01-06 05:57:12,2023-01-06 13:42:28,RUNNING,UPTIME
2842,2023-01-06 15:53:53,2023-01-07 00:24:17,RUNNING,UPTIME
2962,2023-01-06 15:55:01,2023-01-06 18:25:39,RUNNING,UPTIME
2842,2023-01-07 01:10:57,2023-01-07 03:39:59,RUNNING,UPTIME
2842,2023-01-09 05:55:24,2023-01-09 06:57:22,RUNNING,UPTIME
2842,2023-01-09 07:40:14,2023-01-10 04:51:53,RUNNING,UPTIME
2842,2023-01-10 14:55:41,2023-01-10 16:57:03,RUNNING,UPTIME
2842,2023-01-10 17:04:56,2023-01-10 17:08:23,RUNNING,UPTIME
2842,2023-01-10 18:09:28,2023-01-10 22:37:32,RUNNING,UPTIME
2842,2023-01-10 22:48:37,2023-01-11 00:56:58,RUNNING,UPTIME
2842,2023-01-12 01:59:48,2023-01-12 04:08:34,RUNNING,UPTIME
2842,2023-01-12 04:11:05,2023-01-12 04:18:32,RUNNING,UPTIME
2842,2023-01-12 04:50:02,2023-01-12 13:12:40,RUNNING,UPTIME
2842,2023-01-12 13:17:09,2023-01-12 18:10:23,RUNNING,UPTIME
2842,2023-01-12 18:15:22,2023-01-12 18:45:33,RUNNING,UPTIME
2842,2023-01-12 22:24:25,2023-01-13 07:20:35,RUNNING,UPTIME
2962,2023-01-12 23:38:35,2023-01-12 23:43:58,RUNNING,UPTIME
2962,2023-01-12 23:54:22,2023-01-13 06:23:36,RUNNING,UPTIME
2842,2023-01-13 07:42:48,2023-01-13 13:39:20,RUNNING,UPTIME
2962,2023-01-13 12:21:51,2023-01-13 13:25:17,RUNNING,UPTIME
2962,2023-01-13 14:15:22,2023-01-13 15:15:41,RUNNING,UPTIME
2842,2023-01-13 14:27:40,2023-01-13 16:41:58,RUNNING,UPTIME
2842,2023-01-13 20:00:56,2023-01-14 03:33:33,RUNNING,UPTIME
2842,2023-01-16 06:33:20,2023-01-16 06:33:32,RUNNING,UPTIME
2842,2023-01-16 06:34:14,2023-01-16 07:36:12,RUNNING,UPTIME
2842,2023-01-16 07:53:11,2023-01-16 10:21:15,RUNNING,UPTIME
2842,2023-01-16 10:43:26,2023-01-16 15:10:10,RUNNING,UPTIME
2842,2023-01-16 15:14:11,2023-01-16 16:49:40,RUNNING,UPTIME
2842,2023-01-16 22:00:39,2023-01-16 22:18:16,RUNNING,UPTIME
2842,2023-01-16 22:25:13,2023-01-16 23:32:32,RUNNING,UPTIME
2842,2023-01-16 23:50:59,2023-01-17 00:16:46,RUNNING,UPTIME
2842,2023-01-17 00:43:04,2023-01-17 00:47:33,RUNNING,UPTIME
2842,2023-01-17 01:00:56,2023-01-17 01:06:26,RUNNING,UPTIME
2842,2023-01-17 01:17:53,2023-01-17 03:13:21,RUNNING,UPTIME
2842,2023-01-17 03:39:02,2023-01-17 03:48:53,RUNNING,UPTIME
2842,2023-01-17 04:08:19,2023-01-17 04:19:52,RUNNING,UPTIME
2842,2023-01-17 04:25:32,2023-01-17 05:55:43,RUNNING,UPTIME
2842,2023-01-17 06:02:18,2023-01-17 06:05:40,RUNNING,UPTIME
2842,2023-01-17 06:09:52,2023-01-17 07:59:36,RUNNING,UPTIME
2842,2023-01-17 08:25:33,2023-01-17 08:26:44,RUNNING,UPTIME
2842,2023-01-17 08:32:34,2023-01-17 10:36:48,RUNNING,UPTIME
2842,2023-01-17 13:11:08,2023-01-17 13:14:18,RUNNING,UPTIME
2842,2023-01-17 13:26:53,2023-01-17 14:14:11,RUNNING,UPTIME
2842,2023-01-17 14:32:31,2023-01-17 20:08:21,RUNNING,UPTIME
2842,2023-01-17 20:16:19,2023-01-17 22:55:56,RUNNING,UPTIME
2842,2023-01-18 00:30:47,2023-01-18 00:47:45,RUNNING,UPTIME
2842,2023-01-18 01:52:30,2023-01-18 02:59:43,RUNNING,UPTIME
2842,2023-01-18 03:05:50,2023-01-18 03:08:48,RUNNING,UPTIME
2842,2023-01-18 03:34:32,2023-01-18 05:38:53,RUNNING,UPTIME
2842,2023-01-18 05:49:42,2023-01-18 08:18:01,RUNNING,UPTIME
2962,2023-01-18 07:22:47,2023-01-18 09:19:26,RUNNING,UPTIME
2842,2023-01-18 08:43:40,2023-01-18 09:52:35,RUNNING,UPTIME
2962,2023-01-18 09:23:30,2023-01-18 11:32:33,RUNNING,UPTIME
2842,2023-01-18 10:35:00,2023-01-18 10:37:07,RUNNING,UPTIME
2842,2023-01-18 10:41:27,2023-01-18 13:42:03,RUNNING,UPTIME
2962,2023-01-18 11:57:48,2023-01-18 15:07:35,RUNNING,UPTIME
2842,2023-01-18 14:27:45,2023-01-18 21:39:54,RUNNING,UPTIME
2962,2023-01-18 15:09:26,2023-01-18 16:27:52,RUNNING,UPTIME
2962,2023-01-18 18:05:58,2023-01-18 19:42:56,RUNNING,UPTIME
2962,2023-01-19 05:04:25,2023-01-19 11:58:02,RUNNING,UPTIME
2962,2023-01-19 12:02:15,2023-01-20 18:33:06,RUNNING,UPTIME
2842,2023-01-20 01:38:27,2023-01-20 03:04:41,RUNNING,UPTIME
2842,2023-01-20 03:16:02,2023-01-20 03:23:04,RUNNING,UPTIME
2842,2023-01-20 03:25:09,2023-01-20 04:21:11,RUNNING,UPTIME
2842,2023-01-20 04:46:50,2023-01-20 04:57:42,RUNNING,UPTIME
2842,2023-01-20 05:02:36,2023-01-20 05:31:44,RUNNING,UPTIME
2842,2023-01-20 05:33:53,2023-01-20 06:33:51,RUNNING,UPTIME
2842,2023-01-20 06:49:00,2023-01-20 12:07:53,RUNNING,UPTIME
2842,2023-01-20 12:25:24,2023-01-20 13:45:10,RUNNING,UPTIME
2842,2023-01-20 13:53:40,2023-01-20 14:17:19,RUNNING,UPTIME
2842,2023-01-20 18:14:36,2023-01-20 18:47:24,RUNNING,UPTIME
2842,2023-01-20 19:13:05,2023-01-20 19:45:49,RUNNING,UPTIME
2842,2023-01-20 20:25:16,2023-01-20 20:27:52,RUNNING,UPTIME
2842,2023-01-20 20:34:38,2023-01-20 20:35:51,RUNNING,UPTIME
2842,2023-01-20 20:47:10,2023-01-20 21:59:50,RUNNING,UPTIME
2842,2023-01-20 22:03:16,2023-01-20 22:56:28,RUNNING,UPTIME
2842,2023-01-20 22:59:29,2023-01-20 23:01:44,RUNNING,UPTIME
2842,2023-01-20 23:26:18,2023-01-21 03:25:13,RUNNING,UPTIME
2842,2023-01-23 05:02:24,2023-01-23 05:05:41,RUNNING,UPTIME
2842,2023-01-23 05:12:01,2023-01-23 07:45:56,RUNNING,UPTIME
2842,2023-01-23 08:21:19,2023-01-23 15:31:57,RUNNING,UPTIME
2842,2023-01-23 17:17:42,2023-01-23 18:29:06,RUNNING,UPTIME
2842,2023-01-23 18:35:38,2023-01-23 19:38:54,RUNNING,UPTIME
2842,2023-01-23 19:43:30,2023-01-23 19:48:51,RUNNING,UPTIME
2842,2023-01-23 20:03:03,2023-01-23 22:17:30,RUNNING,UPTIME
2842,2023-01-23 22:22:05,2023-01-24 00:49:36,RUNNING,UPTIME
2842,2023-01-24 00:59:53,2023-01-24 01:14:56,RUNNING,UPTIME
2842,2023-01-24 01:46:46,2023-01-24 02:47:14,RUNNING,UPTIME
2842,2023-01-24 02:54:20,2023-01-24 07:54:20,RUNNING,UPTIME
2842,2023-01-24 08:15:20,2023-01-24 10:44:05,RUNNING,UPTIME
2842,2023-01-24 10:48:27,2023-01-24 11:48:29,RUNNING,UPTIME
2842,2023-01-24 11:57:09,2023-01-24 14:00:39,RUNNING,UPTIME
2842,2023-01-24 15:32:59,2023-01-24 19:54:33,RUNNING,UPTIME
2842,2023-01-24 20:02:51,2023-01-25 10:59:02,RUNNING,UPTIME
2842,2023-01-25 11:08:34,2023-01-25 12:03:53,RUNNING,UPTIME
2842,2023-01-25 17:47:16,2023-01-25 20:17:17,RUNNING,UPTIME
2842,2023-01-26 12:40:56,2023-01-26 12:42:23,RUNNING,UPTIME
2842,2023-01-26 12:45:33,2023-01-26 14:53:30,RUNNING,UPTIME
2842,2023-01-26 15:01:10,2023-01-26 21:08:26,RUNNING,UPTIME
2842,2023-01-26 21:54:55,2023-01-26 22:26:56,RUNNING,UPTIME
2842,2023-01-26 23:10:21,2023-01-27 00:38:07,RUNNING,UPTIME
2842,2023-01-27 00:46:45,2023-01-27 02:27:58,RUNNING,UPTIME
2842,2023-01-27 02:56:38,2023-01-27 05:01:42,RUNNING,UPTIME
2842,2023-01-27 05:49:21,2023-01-27 07:07:33,RUNNING,UPTIME
2842,2023-01-27 08:58:45,2023-01-27 09:06:25,RUNNING,UPTIME
2842,2023-01-27 09:22:56,2023-01-27 09:41:54,RUNNING,UPTIME
2842,2023-01-27 09:48:10,2023-01-27 10:03:01,RUNNING,UPTIME
