data_source_id,attached_at,detached_at,display_name
2962,2023-01-03 04:05:40,2023-01-03 05:40:22,300682
2962,2023-01-04 07:08:32,2023-01-04 07:21:49,300682
2962,2023-01-05 07:38:29,2023-01-05 11:42:23,300682
2842,2023-01-03 11:38:06,2023-01-03 19:44:03,300492
2842,2023-01-10 19:31:31,2023-01-11 00:59:51,300492
2962,2023-01-12 23:31:29,2023-01-13 03:45:03,300492
2842,2023-01-17 01:41:28,2023-01-17 03:48:42,300492
2842,2023-01-23 11:32:14,2023-01-23 16:23:27,300492
2842,2023-01-23 17:18:09,2023-01-23 17:23:05,300492
2842,2023-01-23 17:27:04,2023-01-23 19:45:36,300492
2842,2023-01-30 11:43:34,2023-01-30 20:39:36,300492
2842,2023-01-03 19:44:14,2023-01-04 03:17:39,300509
2962,2023-01-05 19:49:47,2023-01-06 03:28:31,300509
2842,2023-01-10 17:04:47,2023-01-10 19:44:32,300509
2842,2023-01-16 15:10:36,2023-01-16 15:26:07,300509
2842,2023-01-20 12:07:59,2023-01-20 14:17:22,300509
2962,2023-01-03 21:58:19,2023-01-04 03:44:22,B6press
2962,2023-01-18 11:57:57,2023-01-18 15:06:53,B6press
2962,2023-01-19 12:02:50,2023-01-20 18:33:05,B6press
2962,2023-01-20 22:35:19,2023-01-21 00:23:05,B6press
2962,2023-01-23 13:41:48,2023-01-23 17:07:09,B6press
2962,2023-01-03 23:13:58,2023-01-03 23:35:22,300629
2842,2023-01-09 12:55:14,2023-01-09 13:17:39,300629
2842,2023-01-09 14:58:39,2023-01-09 15:40:02,300629
2842,2023-01-09 17:56:36,2023-01-09 18:18:07,300629
2842,2023-01-10 17:55:33,2023-01-10 18:07:04,300629
2842,2023-01-16 12:55:31,2023-01-16 13:14:12,300629
2842,2023-01-16 14:55:32,2023-01-16 15:23:49,300629
2962,2023-01-19 13:51:01,2023-01-19 13:59:13,300629
2962,2023-01-19 16:05:44,2023-01-19 16:24:49,300629
2842,2023-01-23 20:56:12,2023-01-23 21:07:31,300629
2842,2023-01-23 22:54:35,2023-01-23 23:17:17,300629
2842,2023-01-24 01:57:39,2023-01-24 02:07:53,300629
2842,2023-01-04 03:28:54,2023-01-04 06:38:10,907075
2842,2023-01-06 03:29:38,2023-01-06 03:54:45,907075
2842,2023-01-06 04:00:27,2023-01-06 11:42:59,907075
2962,2023-01-04 03:45:54,2023-01-04 07:00:30,301303
2842,2023-01-04 08:58:57,2023-01-04 12:25:43,301255
2842,2023-01-04 08:59:19,2023-01-04 11:47:29,907427
2842,2023-01-16 05:37:46,2023-01-16 11:43:55,907427
2842,2023-01-27 05:53:13,2023-01-27 08:05:53,907427
2842,2023-01-04 11:40:52,2023-01-04 11:47:30,908063
2842,2023-01-04 12:40:57,2023-01-04 19:45:30,908063
2842,2023-01-12 11:40:23,2023-01-12 12:16:22,908063
2842,2023-01-17 13:33:35,2023-01-17 15:46:36,908063
2842,2023-01-17 16:09:04,2023-01-17 19:43:19,908063
2842,2023-01-18 11:41:44,2023-01-18 15:52:45,908063
2842,2023-01-18 16:14:01,2023-01-18 19:43:26,908063
2842,2023-01-27 16:50:09,2023-01-27 19:46:03,908063
2842,2023-01-04 12:41:55,2023-01-04 19:45:43,301256
2842,2023-01-25 11:42:37,2023-01-25 12:39:45,301256
2842,2023-01-04 19:41:26,2023-01-04 20:43:09,300810
2962,2023-01-04 19:47:00,2023-01-05 04:41:59,300239
2842,2023-01-04 19:58:59,2023-01-04 20:43:10,301061
2842,2023-01-06 03:24:32,2023-01-06 03:54:43,301299
2842,2023-01-06 03:59:18,2023-01-06 11:42:52,301299
2842,2023-01-13 03:43:23,2023-01-13 11:43:58,301299
2962,2023-01-06 03:43:50,2023-01-06 10:42:59,301342
2962,2023-01-06 08:17:17,2023-01-06 08:38:17,301060
2842,2023-01-12 05:47:49,2023-01-12 05:57:33,301060
2842,2023-01-12 08:44:12,2023-01-12 09:03:36,301060
2842,2023-01-13 05:22:31,2023-01-13 05:42:58,301060
2842,2023-01-13 07:55:03,2023-01-13 08:27:54,301060
2842,2023-01-17 05:33:23,2023-01-17 05:44:30,301060
2842,2023-01-17 07:56:28,2023-01-17 08:15:23,301060
2842,2023-01-17 10:33:38,2023-01-17 10:39:40,301060
2842,2023-01-18 05:33:07,2023-01-18 05:50:12,301060
2842,2023-01-31 05:22:17,2023-01-31 05:34:19,301060
2842,2023-01-31 07:46:47,2023-01-31 08:06:20,301060
2842,2023-01-06 11:42:17,2023-01-06 19:42:00,907355
2842,2023-01-18 00:07:00,2023-01-18 04:03:23,907355
2842,2023-01-06 11:42:48,2023-01-06 19:42:01,301137
2842,2023-01-20 01:39:47,2023-01-20 03:44:13,301137
2842,2023-01-20 19:45:16,2023-01-21 03:25:09,301137
2962,2023-01-06 11:43:18,2023-01-06 19:42:13,301283
2842,2023-01-09 19:41:27,2023-01-10 03:44:35,301283
2842,2023-01-06 19:42:20,2023-01-07 03:44:59,300693
2842,2023-01-13 11:37:50,2023-01-13 16:41:59,300693
2842,2023-01-30 20:40:13,2023-01-31 01:51:14,300693
2962,2023-01-06 19:43:39,2023-01-06 22:44:55,907399
2842,2023-01-20 14:46:48,2023-01-20 16:05:12,907399
2842,2023-01-25 20:03:36,2023-01-25 20:37:14,907399
2842,2023-01-26 00:45:48,2023-01-26 00:56:46,907399
2842,2023-01-06 22:58:34,2023-01-07 03:44:58,908076
2962,2023-01-18 18:16:53,2023-01-18 18:28:25,908076
2962,2023-01-18 18:45:39,2023-01-18 18:53:36,908076
2842,2023-01-27 19:41:44,2023-01-27 21:11:55,908076
2842,2023-01-09 05:40:43,2023-01-09 11:54:45,301374
2842,2023-01-09 05:42:27,2023-01-09 11:54:53,908065
2842,2023-01-18 03:34:25,2023-01-18 11:44:54,908065
2842,2023-01-27 03:41:50,2023-01-27 05:46:08,908065
2842,2023-01-09 08:35:18,2023-01-09 09:28:17,300753
2842,2023-01-20 10:52:50,2023-01-20 11:03:22,300753
2842,2023-01-23 07:48:00,2023-01-23 08:02:59,300753
2842,2023-01-23 10:27:08,2023-01-23 10:38:08,300753
2842,2023-01-24 05:38:31,2023-01-24 05:48:19,300753
2842,2023-01-24 08:15:51,2023-01-24 08:31:03,300753
2842,2023-01-24 10:42:57,2023-01-24 10:51:25,300753
2842,2023-01-25 05:26:07,2023-01-25 05:35:48,300753
2842,2023-01-25 07:46:46,2023-01-25 08:07:04,300753
2842,2023-01-25 10:39:21,2023-01-25 10:48:50,300753
2842,2023-01-27 05:01:34,2023-01-27 05:22:21,300753
2842,2023-01-27 07:42:19,2023-01-27 08:05:52,300753
2842,2023-01-30 07:46:06,2023-01-30 08:02:36,300753
2842,2023-01-30 10:24:00,2023-01-30 10:34:44,300753
2842,2023-01-09 11:37:27,2023-01-09 12:37:40,907258
2842,2023-01-20 18:17:54,2023-01-20 19:43:55,907258
2842,2023-01-09 12:39:06,2023-01-09 19:41:14,907321
2842,2023-01-09 12:48:53,2023-01-09 19:41:13,301136
2842,2023-01-09 19:41:27,2023-01-10 03:44:35,301289
2962,2023-01-09 19:58:22,2023-01-10 20:27:49,301336
2842,2023-01-10 03:41:49,2023-01-10 06:02:10,301376
2842,2023-01-12 03:54:21,2023-01-12 11:44:54,301376
2842,2023-01-10 03:46:43,2023-01-10 06:02:01,301337
2842,2023-01-23 04:51:55,2023-01-23 05:34:00,301337
2842,2023-01-10 14:50:47,2023-01-10 17:02:33,301078
2842,2023-01-17 13:27:36,2023-01-17 13:32:28,301078
2842,2023-01-17 15:50:11,2023-01-17 16:07:55,301078
2842,2023-01-11 19:29:30,2023-01-11 19:33:55,907410
2842,2023-01-11 19:42:26,2023-01-12 03:51:49,907410
2842,2023-01-12 21:25:53,2023-01-13 03:42:56,907410
2842,2023-01-12 12:17:21,2023-01-12 18:45:35,300811
2962,2023-01-13 11:54:22,2023-01-13 13:25:12,300811
2962,2023-01-13 14:07:06,2023-01-13 15:15:29,300811
2842,2023-01-12 15:33:59,2023-01-12 15:52:38,300951
2962,2023-01-23 23:55:22,2023-01-24 00:15:27,300951
2842,2023-01-12 20:03:34,2023-01-13 03:42:57,301284
2842,2023-01-26 11:55:01,2023-01-26 13:47:34,301284
2842,2023-01-13 03:42:51,2023-01-13 11:44:00,301254
2962,2023-01-18 07:23:41,2023-01-18 12:26:38,301254
2842,2023-01-20 03:40:41,2023-01-20 11:45:53,301254
2842,2023-01-30 04:59:31,2023-01-30 05:20:09,301254
2962,2023-01-13 04:13:49,2023-01-13 10:12:56,300476
2842,2023-01-13 14:11:58,2023-01-13 16:42:00,907258
2842,2023-01-13 19:33:31,2023-01-14 03:33:35,B7press
2842,2023-01-25 03:51:57,2023-01-25 11:43:35,B7press
2842,2023-01-27 11:48:41,2023-01-27 16:47:49,B7press
2842,2023-01-31 11:53:50,2023-01-31 16:16:20,B7press
2842,2023-01-13 19:44:18,2023-01-14 03:33:38,301312
2842,2023-01-16 05:45:16,2023-01-16 11:43:56,907274
2842,2023-01-16 11:42:04,2023-01-16 15:33:03,301219
2962,2023-01-16 12:53:15,2023-01-16 13:18:10,907363
2962,2023-01-18 18:07:17,2023-01-18 18:28:23,907363
2842,2023-01-16 21:51:21,2023-01-17 01:35:19,301257
2842,2023-01-17 03:49:07,2023-01-17 13:26:59,907423
2842,2023-01-17 19:43:37,2023-01-17 23:36:12,301264
2842,2023-01-18 03:38:56,2023-01-18 11:44:55,907338
2842,2023-01-27 05:51:44,2023-01-27 08:05:53,907338
2842,2023-01-18 13:56:19,2023-01-18 19:43:27,300559
2842,2023-01-23 11:32:14,2023-01-23 11:32:42,300559
2962,2023-01-19 05:04:09,2023-01-19 09:43:38,300556
2962,2023-01-19 08:07:31,2023-01-19 08:24:10,300595
2962,2023-01-21 00:23:19,2023-01-21 00:49:19,300238
2842,2023-01-23 03:36:39,2023-01-23 04:08:37,301182
2842,2023-01-23 05:33:59,2023-01-23 11:45:56,907397
2842,2023-01-23 17:22:59,2023-01-23 17:26:19,300272
2842,2023-01-24 15:49:26,2023-01-24 16:08:35,300272
2842,2023-01-31 13:16:00,2023-01-31 13:26:42,300272
2842,2023-01-23 19:45:19,2023-01-23 19:45:40,300982
2842,2023-01-23 19:47:00,2023-01-23 20:03:15,300982
2842,2023-01-31 22:12:15,2023-02-01 03:44:41,300982
2842,2023-01-23 20:04:02,2023-01-24 03:46:48,300524
2842,2023-01-24 03:37:09,2023-01-24 11:45:09,907437
2842,2023-01-24 11:45:33,2023-01-24 19:43:40,300987
2842,2023-01-24 19:42:24,2023-01-25 03:49:08,300920
2842,2023-01-26 13:47:26,2023-01-26 19:49:11,301068
2842,2023-01-26 19:42:00,2023-01-27 03:56:34,301333
2842,2023-01-27 08:21:19,2023-01-27 10:22:01,301230
2842,2023-01-27 08:21:34,2023-01-27 10:22:01,301178
2842,2023-01-27 09:06:06,2023-01-27 09:43:42,300372
2842,2023-01-30 05:41:07,2023-01-30 11:44:13,907424
2842,2023-01-31 03:54:14,2023-01-31 11:45:41,301224
2842,2023-01-31 21:56:19,2023-01-31 23:15:07,300637
